station,date,rainfall_mm,relative_humidity_percent,wind_ms,wet_bulb_c,evaporation_mm,cloud_cover_oktas,pressure_hpa,year,month_num
KUCHING,2016-12-30,15.6,85.7,1.2,24.7,3.8,7.0,1009.35,2016,12
KUCHING,2016-12-31,0.0,87.3,1.1,24.7,1.8,7.0,1009.1083333333332,2016,12
KUCHING,2017-01-01,1.2,83.7,1.9,24.8,2.4,7.0,1008.4583333333334,2017,1
KUCHING,2017-01-02,5.4,80.0,1.9,24.9,4.7,7.0,1008.3958333333334,2017,1
KUCHING,2017-01-03,7.8,87.1,1.5,24.3,2.1,7.0,1009.0125,2017,1
KUCHING,2017-01-04,11.0,88.8,1.6,24.3,2.6,7.0,1008.5583333333332,2017,1
KUCHING,2017-01-05,7.8,89.0,1.4,24.8,1.6,7.0,1008.5208333333334,2017,1
KUCHING,2017-01-06,2.8,87.3,1.2,25.1,2.2,7.0,1007.65,2017,1
KUCHING,2017-01-07,0.0,81.9,1.4,25.4,3.4,7.0,1007.225,2017,1
KUCHING,2017-01-08,0.6,81.0,1.6,25.6,2.6,7.0,1007.3541666666666,2017,1
KUCHING,2017-01-09,0.0,82.1,1.8,25.5,3.5,7.0,1007.65,2017,1
KUCHING,2017-01-10,9.4,85.7,1.1,25.1,3.1,7.0,1008.2666666666668,2017,1
KUCHING,2017-01-11,0.6,79.5,2.3,25.0,3.8,7.0,1008.5541666666668,2017,1
KUCHING,2017-01-12,0.0,81.0,1.6,24.9,3.0,7.0,1008.1708333333332,2017,1
KUCHING,2017-01-13,0.0,79.0,1.7,25.1,3.7,7.0,1008.6208333333332,2017,1
KUCHING,2017-01-14,4.4,81.2,1.7,24.6,4.6,7.0,1008.9625,2017,1
KUCHING,2017-01-15,23.2,89.4,1.4,23.9,3.6,7.0,1010.4666666666668,2017,1
KUCHING,2017-01-16,20.2,90.2,1.4,23.8,3.3,7.0,1009.9958333333332,2017,1
KUCHING,2017-01-17,20.6,84.3,1.7,24.1,3.7,7.0,1010.275,2017,1
KUCHING,2017-01-18,52.0,88.6,1.6,24.3,3.7,7.0,1011.2291666666666,2017,1
KUCHING,2017-01-19,26.6,84.5,1.7,24.0,3.5,7.0,1010.825,2017,1
KUCHING,2017-01-20,10.8,85.2,1.9,24.3,2.8,7.0,1010.6291666666668,2017,1
KUCHING,2017-01-21,0.0,84.9,1.4,24.2,2.8,7.0,1011.75,2017,1
KUCHING,2017-01-22,1.0,86.0,1.7,24.5,1.8,7.0,1012.55,2017,1
KUCHING,2017-01-23,42.6,81.5,1.7,25.0,4.0,7.0,1010.9125,2017,1
KUCHING,2017-01-24,43.4,89.8,1.9,24.5,4.4,7.0,1011.325,2017,1
KUCHING,2017-01-25,0.4,85.8,1.9,24.0,1.9,7.0,1012.4791666666666,2017,1
KUCHING,2017-01-26,2.0,85.8,1.3,24.5,2.5,7.0,1011.325,2017,1
KUCHING,2017-01-27,47.0,93.3,1.6,24.6,3.5,7.0,1010.3375,2017,1
KUCHING,2017-01-28,79.6,91.5,2.4,24.5,3.3,7.0,1009.45,2017,1
KUCHING,2017-01-29,9.4,86.5,1.5,24.0,1.8,7.0,1010.7916666666666,2017,1
KUCHING,2017-01-30,2.0,88.3,1.7,24.8,1.1,7.0,1009.9166666666666,2017,1
KUCHING,2017-01-31,0.6,83.5,2.3,24.4,3.1,7.0,1009.7791666666668,2017,1
KUCHING,2017-02-01,4.6,82.9,1.9,24.5,4.0,7.0,1010.5958333333332,2017,2
KUCHING,2017-02-02,61.2,86.5,2.0,23.7,3.8,7.3,1011.0833333333334,2017,2
KUCHING,2017-02-03,1.6,89.2,1.5,24.1,2.0,7.2,1010.2833333333332,2017,2
KUCHING,2017-02-04,18.8,86.6,1.9,24.8,2.6,7.0,1009.125,2017,2
KUCHING,2017-02-05,4.6,83.8,2.1,24.8,3.2,7.0,1008.9,2017,2
KUCHING,2017-02-06,0.2,80.8,2.8,24.8,2.4,7.0,1009.25,2017,2
KUCHING,2017-02-07,0.0,79.2,2.7,24.1,4.3,7.0,1010.0625,2017,2
KUCHING,2017-02-08,0.0,75.9,2.0,22.7,4.1,7.0,1010.6083333333332,2017,2
KUCHING,2017-02-09,0.0,75.0,2.2,22.8,4.1,7.0,1010.1458333333334,2017,2
KUCHING,2017-02-10,0.0,80.5,2.5,23.3,4.1,7.0,1009.9125,2017,2
KUCHING,2017-02-11,1.0,85.0,2.3,24.2,2.5,7.0,1011.1375,2017,2
KUCHING,2017-02-12,42.2,85.4,2.2,24.4,4.3,7.0,1011.6,2017,2
KUCHING,2017-02-13,82.0,88.3,2.5,23.9,3.3,7.0,1012.7125,2017,2
KUCHING,2017-02-14,21.8,81.7,2.9,24.1,4.3,7.0,1013.3291666666668,2017,2
KUCHING,2017-02-15,137.0,92.3,2.4,24.1,3.3,7.1,1012.7125,2017,2
KUCHING,2017-02-16,2.2,90.0,1.6,23.3,1.4,7.4,1012.375,2017,2
KUCHING,2017-02-17,22.2,80.6,1.5,24.0,5.7,7.0,1011.7125,2017,2
KUCHING,2017-02-18,1.4,84.4,2.0,23.8,3.1,7.3,1012.325,2017,2
KUCHING,2017-02-19,2.8,86.3,1.7,24.3,1.9,7.0,1010.9708333333332,2017,2
KUCHING,2017-02-20,0.0,83.0,1.4,24.8,3.2,7.0,1009.6,2017,2
KUCHING,2017-02-21,6.8,83.3,1.5,24.9,3.1,7.0,1010.2083333333334,2017,2
KUCHING,2017-02-22,14.6,90.3,1.5,24.3,3.5,7.1,1011.1208333333332,2017,2
KUCHING,2017-02-23,21.8,83.5,2.2,23.9,4.3,7.1,1011.1916666666668,2017,2
KUCHING,2017-02-24,2.2,81.2,1.8,23.7,3.5,7.1,1012.1083333333332,2017,2
KUCHING,2017-02-25,4.6,90.9,1.3,23.8,1.0,7.1,1011.1208333333332,2017,2
KUCHING,2017-02-26,1.0,76.4,1.6,23.8,4.5,7.0,1009.6041666666666,2017,2
KUCHING,2017-02-27,23.0,85.3,1.5,24.6,3.3,7.0,1009.4041666666668,2017,2
KUCHING,2017-02-28,4.2,89.8,1.6,24.4,1.1,7.0,1009.4541666666668,2017,2
KUCHING,2017-03-01,38.6,89.6,2.0,24.0,3.9,7.0,1009.7166666666668,2017,3
KUCHING,2017-03-02,0.0,89.4,1.5,24.3,1.9,7.1,1009.8666666666668,2017,3
KUCHING,2017-03-03,8.6,88.8,2.2,25.5,6.2,7.0,1008.5416666666666,2017,3
KUCHING,2017-03-04,1.2,93.2,1.7,25.3,1.7,7.0,1008.5083333333332,2017,3
KUCHING,2017-03-05,3.6,92.6,1.7,24.9,2.6,7.0,1009.0708333333332,2017,3
KUCHING,2017-03-06,0.0,80.3,1.8,24.5,4.0,7.0,1008.8,2017,3
KUCHING,2017-03-07,3.6,83.9,1.6,24.6,1.7,7.0,1009.2666666666668,2017,3
KUCHING,2017-03-08,0.0,78.9,2.1,24.5,2.5,7.0,1010.025,2017,3
KUCHING,2017-03-09,0.0,81.4,1.6,24.4,4.2,7.0,1009.6583333333332,2017,3
KUCHING,2017-03-10,0.0,77.7,2.0,24.2,3.6,7.0,1009.3541666666666,2017,3
KUCHING,2017-03-11,0.4,81.5,1.8,24.7,3.0,7.0,1010.125,2017,3
KUCHING,2017-03-12,42.4,90.1,1.6,23.9,2.5,7.2,1011.1458333333334,2017,3
KUCHING,2017-03-13,3.6,82.8,1.4,24.0,3.5,7.0,1011.0833333333334,2017,3
KUCHING,2017-03-14,38.0,83.1,1.6,24.1,5.4,7.0,1011.3625,2017,3
KUCHING,2017-03-15,5.0,85.5,1.2,23.8,3.8,7.0,1010.7541666666668,2017,3
KUCHING,2017-03-16,41.2,80.3,1.6,24.7,4.2,7.0,1009.2458333333332,2017,3
KUCHING,2017-03-17,1.6,81.4,1.6,24.2,3.3,7.0,1010.1166666666668,2017,3
KUCHING,2017-03-18,0.0,85.4,1.2,24.5,1.6,7.0,1011.5708333333332,2017,3
KUCHING,2017-03-19,3.6,82.1,1.4,24.4,3.7,7.0,1011.35,2017,3
KUCHING,2017-03-20,4.8,83.7,1.8,24.1,2.7,7.0,1011.1625,2017,3
KUCHING,2017-03-21,0.0,79.7,1.7,23.9,4.0,7.0,1010.9125,2017,3
KUCHING,2017-03-22,0.0,75.7,1.9,24.3,4.8,7.0,1009.8625,2017,3
KUCHING,2017-03-23,9.6,77.7,1.3,24.6,5.6,7.0,1009.7083333333334,2017,3
KUCHING,2017-03-24,0.6,82.4,2.0,24.5,4.7,7.0,1010.5208333333334,2017,3
KUCHING,2017-03-25,0.0,82.5,1.8,24.8,2.0,7.0,1010.9875,2017,3
KUCHING,2017-03-26,13.8,79.1,1.7,25.2,5.8,7.0,1011.0458333333332,2017,3
KUCHING,2017-03-27,2.8,79.1,1.9,24.9,4.4,7.0,1011.2833333333332,2017,3
KUCHING,2017-03-28,0.0,83.2,1.7,24.4,2.7,7.0,1011.8458333333332,2017,3
KUCHING,2017-03-29,4.2,81.2,1.7,24.3,3.0,7.0,1011.5375,2017,3
KUCHING,2017-03-30,0.4,85.1,1.7,24.4,2.2,7.0,1012.7291666666666,2017,3
KUCHING,2017-03-31,8.6,82.0,1.9,24.3,4.3,7.0,1012.0875,2017,3
KUCHING,2017-04-01,4.2,84.0,1.2,24.0,3.0,7.0,1011.3958333333334,2017,4
KUCHING,2017-04-02,30.0,85.3,2.1,23.6,5.1,7.0,1011.2875,2017,4
KUCHING,2017-04-03,7.8,79.8,2.0,23.7,4.1,7.0,1011.775,2017,4
KUCHING,2017-04-04,11.6,84.1,1.3,24.4,2.1,7.0,1011.3833333333332,2017,4
KUCHING,2017-04-05,2.0,84.8,1.2,24.7,3.1,7.0,1009.7375,2017,4
KUCHING,2017-04-06,16.0,86.9,1.1,24.2,3.1,7.0,1009.1083333333332,2017,4
KUCHING,2017-04-07,2.4,86.1,1.3,24.6,3.5,7.0,1009.2208333333332,2017,4
KUCHING,2017-04-08,5.0,84.2,2.0,24.6,4.3,7.0,1009.5916666666668,2017,4
KUCHING,2017-04-09,0.0,81.6,1.2,24.7,2.9,7.0,1009.5958333333332,2017,4
KUCHING,2017-04-10,80.4,87.7,1.5,24.1,3.3,7.0,1009.1708333333332,2017,4
KUCHING,2017-04-11,8.6,87.0,1.1,25.1,3.3,7.0,1008.5541666666668,2017,4
KUCHING,2017-04-12,0.0,86.8,1.6,25.3,2.6,7.0,1009.3625,2017,4
KUCHING,2017-04-13,1.0,89.0,1.7,24.9,2.6,7.0,1010.6458333333334,2017,4
KUCHING,2017-04-14,0.0,81.3,2.1,24.8,4.5,7.0,1010.425,2017,4
KUCHING,2017-04-15,83.0,87.2,2.0,24.7,3.3,6.9,1009.2333333333332,2017,4
KUCHING,2017-04-16,8.2,94.0,1.1,24.9,1.8,7.0,1010.0958333333332,2017,4
KUCHING,2017-04-17,4.4,81.7,1.6,25.4,4.2,7.0,1009.95,2017,4
KUCHING,2017-04-18,2.6,88.5,1.7,25.2,3.3,7.0,1010.4416666666668,2017,4
KUCHING,2017-04-19,0.0,86.8,1.6,24.8,3.4,7.0,1010.7291666666666,2017,4
KUCHING,2017-04-20,0.0,86.5,1.2,25.5,2.5,7.0,1010.8666666666668,2017,4
KUCHING,2017-04-21,43.8,93.1,1.4,24.8,4.6,7.0,1010.6958333333332,2017,4
KUCHING,2017-04-22,5.0,91.0,1.8,24.1,2.5,7.0,1011.0458333333332,2017,4
KUCHING,2017-04-23,0.8,86.1,1.1,24.9,3.1,7.0,1010.9041666666668,2017,4
KUCHING,2017-04-24,5.2,86.7,1.2,25.2,3.3,7.0,1010.925,2017,4
KUCHING,2017-04-25,0.0,81.2,1.6,25.3,3.9,7.0,1010.1916666666668,2017,4
KUCHING,2017-04-26,2.0,83.9,1.7,25.0,5.3,7.0,1010.0083333333332,2017,4
KUCHING,2017-04-27,44.4,88.1,1.5,24.4,3.5,7.0,1010.6166666666668,2017,4
KUCHING,2017-04-28,30.6,88.2,1.4,24.4,5.3,7.0,1010.875,2017,4
KUCHING,2017-04-29,29.4,88.5,1.4,24.1,5.3,7.0,1011.5333333333332,2017,4
KUCHING,2017-04-30,0.0,84.7,1.4,24.6,3.5,7.0,1011.1875,2017,4
KUCHING,2017-05-01,73.0,84.0,1.6,25.5,3.3,7.0,1010.4875,2017,5
KUCHING,2017-05-02,14.4,95.1,1.8,23.9,1.9,7.0,1011.775,2017,5
KUCHING,2017-05-03,0.0,79.8,1.4,24.1,5.5,7.0,1010.7166666666668,2017,5
KUCHING,2017-05-04,17.2,80.9,1.5,25.1,5.7,6.9,1010.2125,2017,5
KUCHING,2017-05-05,2.4,84.5,1.6,24.6,2.0,7.0,1011.5458333333332,2017,5
KUCHING,2017-05-06,3.0,85.3,2.1,25.0,3.2,7.0,1012.0375,2017,5
KUCHING,2017-05-07,28.4,85.3,1.6,24.7,4.0,7.0,1011.2958333333332,2017,5
KUCHING,2017-05-08,18.8,91.5,1.4,24.6,5.9,7.0,1010.4791666666666,2017,5
KUCHING,2017-05-09,2.2,84.4,1.2,24.9,3.9,7.0,1008.85,2017,5
KUCHING,2017-05-10,2.7,84.6,1.7,25.5,2.7,7.0,1009.2166666666668,2017,5
KUCHING,2017-05-11,1.6,87.6,2.0,25.1,2.7,7.0,1009.7333333333332,2017,5
KUCHING,2017-05-12,0.6,85.0,2.1,25.1,2.7,7.0,1009.2625,2017,5
KUCHING,2017-05-13,1.4,84.8,2.0,25.3,2.7,7.0,1008.4916666666668,2017,5
KUCHING,2017-05-14,0.0,89.5,1.8,25.3,3.8,7.0,1009.1541666666668,2017,5
KUCHING,2017-05-15,0.0,78.0,1.7,25.5,4.1,7.0,1007.75,2017,5
KUCHING,2017-05-16,59.4,85.3,2.1,25.2,3.5,6.9,1008.0333333333332,2017,5
KUCHING,2017-05-17,0.0,87.8,1.3,25.2,1.3,7.0,1008.675,2017,5
KUCHING,2017-05-18,0.0,74.9,1.5,25.5,5.6,7.0,1009.0041666666668,2017,5
KUCHING,2017-05-19,2.7,86.6,1.6,25.5,2.1,7.0,1009.375,2017,5
KUCHING,2017-05-20,4.2,86.0,1.5,25.1,3.2,7.0,1008.3541666666666,2017,5
KUCHING,2017-05-21,0.2,83.8,1.6,24.9,3.7,7.0,1007.6083333333332,2017,5
KUCHING,2017-05-22,3.4,88.1,1.4,25.2,3.0,7.0,1008.6625,2017,5
KUCHING,2017-05-23,0.0,87.8,1.5,25.4,2.0,7.0,1009.1708333333332,2017,5
KUCHING,2017-05-24,2.8,89.6,1.2,25.2,2.1,7.0,1008.9333333333332,2017,5
KUCHING,2017-05-25,5.2,85.6,1.4,24.8,3.6,7.0,1008.7375,2017,5
KUCHING,2017-05-26,23.2,84.8,2.1,24.6,5.9,7.0,1008.6208333333332,2017,5
KUCHING,2017-05-27,0.6,84.5,1.7,25.3,3.3,7.0,1008.2958333333332,2017,5
KUCHING,2017-05-28,0.0,83.2,1.4,25.5,2.3,7.0,1008.2958333333332,2017,5
KUCHING,2017-05-29,2.0,76.0,1.7,25.9,5.5,6.7,1008.4041666666668,2017,5
KUCHING,2017-05-30,2.7,83.5,1.6,25.3,2.2,7.0,1009.8166666666668,2017,5
KUCHING,2017-05-31,7.6,85.7,1.4,25.3,4.1,7.0,1009.5291666666668,2017,5
KUCHING,2017-06-01,42.2,84.4,1.8,24.8,3.9,7.1,1010.2958333333332,2017,6
KUCHING,2017-06-02,0.0,82.9,2.1,23.9,3.9,7.0,1011.0958333333332,2017,6
KUCHING,2017-06-03,0.0,79.1,1.5,24.7,3.7,7.0,1010.8,2017,6
KUCHING,2017-06-04,0.0,74.3,2.2,25.4,5.4,7.0,1009.7583333333332,2017,6
